Technology,Device,Task.Name,Method,Task.Size,Task.Threads,Task.BatchSize,Duration.Compute,Duration.Total
OpenCL,Intel(R) HD Graphics 630,Reduction,reduce_simple,32768,128,256,6.448,7.792
OpenCL,Intel(R) HD Graphics 630,Reduction,reduce_w_modulo,32768,128,256,3.669,4.506
OpenCL,Intel(R) HD Graphics 630,Reduction,reduce_in_shared,32768,128,256,2.243,3.857
OpenCL,Intel(R) HD Graphics 630,Reduction,reduce_w_sequential_addressing,32768,128,256,2.33,5.167
OpenCL,Intel(R) HD Graphics 630,Reduction,reduce_bi_step,32768,128,256,2.331,5.041
OpenCL,Intel(R) HD Graphics 630,Reduction,reduce_unrolled,32768,128,256,2.723,4.913
OpenCL,Intel(R) HD Graphics 630,Reduction,reduce_unrolled_fully,32768,128,256,2.841,4.659
OpenCL,Intel(R) HD Graphics 630,Reduction,reduce_w_brents_theorem,32768,128,256,3.124,5.145
OpenCL,AMD Radeon Pro 560 Compute Engine,Reduction,reduce_simple,32768,128,256,9.791,11.93
OpenCL,AMD Radeon Pro 560 Compute Engine,Reduction,reduce_w_modulo,32768,128,256,7.598,10.625
OpenCL,AMD Radeon Pro 560 Compute Engine,Reduction,reduce_in_shared,32768,128,256,3.952,5.178
OpenCL,AMD Radeon Pro 560 Compute Engine,Reduction,reduce_w_sequential_addressing,32768,128,256,4.475,6.318
OpenCL,AMD Radeon Pro 560 Compute Engine,Reduction,reduce_bi_step,32768,128,256,5.987,8.18
OpenCL,AMD Radeon Pro 560 Compute Engine,Reduction,reduce_unrolled,32768,128,256,3.467,4.122
OpenCL,AMD Radeon Pro 560 Compute Engine,Reduction,reduce_unrolled_fully,32768,128,256,4.278,6.573
OpenCL,AMD Radeon Pro 560 Compute Engine,Reduction,reduce_w_brents_theorem,32768,128,256,2.936,4.41
OpenCL,Intel(R) HD Graphics 630,Reduction,reduce_simple,32768,256,128,7.069,9.405
OpenCL,Intel(R) HD Graphics 630,Reduction,reduce_w_modulo,32768,256,128,4.257,5.154
OpenCL,Intel(R) HD Graphics 630,Reduction,reduce_in_shared,32768,256,128,3.972,5.41
OpenCL,Intel(R) HD Graphics 630,Reduction,reduce_w_sequential_addressing,32768,256,128,3.526,5.314
OpenCL,Intel(R) HD Graphics 630,Reduction,reduce_bi_step,32768,256,128,3.273,5.897
